Term,Score
fire,21.688282144979492
one,20.890092470415336
think,18.600965973270693
azula,17.787325456217175
like,17.26580464619393
nation,15.673004433468424
also,15.250493377371765
fire nation,14.375487674186532
show,13.526246863154988
even,13.478399449498959
ozai,13.466213713493786
still,12.512881011872615
people,12.321139973089792
did,11.719375226351257
son,10.868376257068466
much,10.516195382667574
iroh,10.320164906092831
war,9.232662392286556
family,9.061279398266613
didn,8.850491763897276
