Term,Score
like,11.3911790008638
always,11.255490325703803
makes,10.941053312037877
see,10.788404085215841
one,10.613910704153062
think,9.451130255927696
first,9.29879462871763
much,8.744312973707327
did,8.63651452971573
even,8.206255724158703
show,8.0934898034277
seeing,7.666464673556302
ba_sing_se,6.718175736474516
rewatch,6.701930738669532
will,6.066835299527269
great,5.999701749007797
didn,5.7375583544706155
avatar,5.333327575749557
whole,5.173416662824704
get,4.591735805646736
