Term,Score
like,13.669225182974532
one,12.392844112527593
iroh,9.098515502293322
also,8.774621179221269
show,8.739343613913876
piandao,8.418291284365843
episodes,7.953613389513459
think,7.71368807149006
don,7.6079133874013625
sword,7.245081110789846
fire,6.603297430126389
know,6.320146779071845
gaang,5.957897858259223
much,5.758251710902108
always,5.460433508025796
end,5.44693462628727
re,5.372322054310291
first,5.048757989310642
way,4.8592600035297195
even,3.944906603090506
