Term,Score
like,14.221039127926726
worst,12.793098689773434
bad,9.955186039328996
think,9.417550052275098
one,8.988319707407365
divide,8.389403790832555
great,8.035070924369908
don,7.899919138565534
people,7.799361420864959
avatar,7.647514330784708
great divide,7.065485715029466
lie,6.649342179576598
pretty,6.393921469529106
see,5.952134631609958
actually,5.876420323130978
good,5.745274883620785
still,5.180074854419187
even,5.170027334139995
also,4.820893887574566
episodes,4.75776205302533
