pair,count
"('shinu', 'zhao')",2
"('soldier', 'zuko')",1
"('iroh', 'soldier')",1
"('scout #1', 'scout #2')",1
"('aang', 'herbalist')",3
"('officer', 'zhao')",2
"('aang', 'calm man')",5
"('calm man', 'sokka')",5
"('calm man', 'katara')",5
"('katara', 'strange man')",1
"('meng', 'sokka')",2
"('aang', 'meng')",6
"('katara', 'meng')",3
"('aang', 'woman')",1
"('meng', 'woman')",1
"('katara', 'wu')",5
"('sokka', 'wu')",3
"('aang', 'wu')",6
"('calm man', 'village woman')",2
"('aang', 'village woman')",2
"('sokka', 'village woman')",2
"('katara', 'village woman')",2
"('poi', 'wu')",1
"('farmer', 'wu')",1
"('ping', 'wu')",1
"('farmer', 'poi')",1
"('ping', 'poi')",2
"('farmer', 'ping')",1
"('man', 'sokka')",1
"('aang', 'man')",1
"('man with red shoes', 'sokka')",1
"('poi', 'sokka')",1
"('ping', 'sokka')",1
"('calm man', 'wu')",1
"('firebenders', 'june')",1
"('firebenders', 'zuko')",1
"('june', 'zuko')",16
"('iroh', 'june')",2
"('hakoda', 'sokka')",24
"('bato', 'sokka')",15
"('aang', 'bato')",7
"('bato', 'katara')",13
"('mother superior', 'sokka')",2
"('aang', 'mother superior')",4
"('bato', 'mother superior')",1
"('aang', 'messenger')",1
"('herbalist', 'june')",1
"('herbalist', 'zuko')",1
"('aunt wu', 'iroh')",1
"('june', 'sokka')",2
"('june', 'katara')",2
"('mask dealer', 'sokka')",1
"('katara', 'mask dealer')",1
"('shop keeper', 'sokka')",1
"('aang', 'shop keeper')",1
"('aang', 'malu')",1
"('fire nation kids', 'malu')",1
"('malu', 'puppet fire lord')",1
"('malu', 'sokka')",1
"('katara', 'malu')",1
"('aang', 'fire nation kids')",1
"('aang', 'puppet fire lord')",1
"('fire nation kids', 'puppet fire lord')",1
"('fire nation kids', 'sokka')",1
"('fire nation kids', 'katara')",1
"('puppet fire lord', 'sokka')",1
"('katara', 'puppet fire lord')",1
"('citizen', 'sokka')",1
"('chey', 'sokka')",7
"('citizen', 'guard')",1
"('chey', 'citizen')",1
"('chey', 'guard')",2
"('aang', 'chey')",6
"('chey', 'katara')",2
"('lin yee', 'sokka')",1
"('chey', 'lin yee')",3
"('aang', 'lin yee')",1
"('guard captain', 'zhao')",1
"('aang', 'jeong jeong')",9
"('jeong jeong', 'roku')",1
"('jeong jeong', 'sokka')",3
"('jeong jeong', 'katara')",3
"('jeong jeong', 'tribal man')",1
"('aang', 'tribal man')",1
"('katara', 'tribal man')",1
"('jeong jeong', 'zhao')",1
"('aang', 'storyteller')",4
"('katara', 'storyteller')",1
"('sokka', 'storyteller')",1
"('colonists', 'sokka')",1
"('aang', 'teo')",15
"('sokka', 'teo')",8
"('katara', 'teo')",12
"('aang', 'mechanist')",8
"('mechanist', 'teo')",7
"('mechanist', 'sokka')",13
"('qin', 'teo')",1
"('mechanist', 'qin')",2
"('aang', 'qin')",3
"('katara', 'mechanist')",2
"('girl', 'teo')",1
"('aang', 'girl')",1
"('girl', 'katara')",1
"('li', 'zhao')",1
"('arnook', 'yue')",1
"('sokka', 'yue')",14
"('katara', 'yue')",9
"('aang', 'arnook')",2
"('aang', 'pakku')",10
"('arnook', 'pakku')",2
"('katara', 'pakku')",10
"('pirate captain', 'zhao')",1
"('oh', 'zhao')",1
"('katara', 'yugoda')",2
"('arnook', 'katara')",2
"('pakku', 'sokka')",2
"('arnook', 'sokka')",5
"('hahn', 'sokka')",4
"('arnook', 'hahn')",2
"('aang', 'yue')",7
"('yue', 'zuko')",1
"('aang', 'baboon spirit')",1
"('aang', 'koh')",3
"('yue', 'zhao')",1
"('iroh', 'yue')",1
"('azula', 'captain')",2
"('fong', 'katara')",3
"('fong', 'sokka')",1
"('aang', 'fong')",7
"('azula', 'li')",5
"('li', 'lo')",11
"('azula', 'lo')",5
