pair,count
"('aang', 'actor sokka')",1
"('actor iroh', 'actor zuko')",3
"('actor zuko', 'blue spirit')",1
"('actor sokka', 'suki')",2
"('actress yue', 'suki')",1
"('actress yue', 'sokka')",1
"('actor sokka', 'actress yue')",1
"('actor toph', 'toph')",2
"('actor toph', 'actress aang')",2
"('actor toph', 'katara')",1
"('actress aang', 'katara')",1
"('actress azula', 'actress katara')",1
"('actor zuko', 'actress azula')",3
"('actor zuko', 'actress katara')",2
"('actor jet', 'actress aang')",1
"('actor zuko', 'sokka')",2
"('actor iroh', 'actress azula')",1
"('young boy', 'zuko')",1
"('actor zuko', 'suki')",1
"('actor sokka', 'actor zuko')",1
"('actor ozai', 'actress azula')",2
"('actor ozai', 'actress aang')",2
"('actress aang', 'actress azula')",1
"('shinu', 'zuko')",1
"('aang', 'shinu')",1
"('shinu', 'toph')",1
"('ozai', 'shinu')",1
"('azula', 'shinu')",1
"('shinu', 'sokka')",1
"('katara', 'shinu')",1
"('actress aang', 'crowd')",1
"('june', 'toph')",2
"('piandao', 'suki')",1
"('piandao', 'zuko')",2
"('bumi', 'piandao')",2
"('jeong jeong', 'piandao')",1
"('piandao', 'toph')",1
"('pakku', 'piandao')",1
"('bumi', 'suki')",2
"('jeong jeong', 'suki')",1
"('pakku', 'suki')",1
"('bumi', 'zuko')",2
"('jeong jeong', 'zuko')",1
"('pakku', 'zuko')",1
"('bumi', 'jeong jeong')",1
"('bumi', 'toph')",1
"('bumi', 'pakku')",2
"('jeong jeong', 'toph')",1
"('jeong jeong', 'pakku')",1
"('pakku', 'toph')",1
"('aang', 'kyoshi')",1
"('aang', 'yangchen')",1
"('iroh', 'suki')",2
"('aang', 'lion turtle')",1
"('azula', 'banished servant')",1
"('azula', 'head of dai li')",1
"('engineer', 'qin lee')",1
"('bumi', 'iroh')",1
"('iroh', 'pakku')",1
"('ozai', 'suki')",1
"('iroh', 'mai')",1
"('mai', 'toph')",1
