,Water,Earth,Fire
sozin,-1,-1,6
star,-1,3,-1
store owner,-1,1,-1
storyteller,0,-1,-1
strange man,0,-1,-1
student,-1,-1,9
suki,0,4,0
sun warrior chief,-1,-1,2
ta min,-1,-1,6
tashi,2,-1,-1
tax collector,4,-1,-1
tea seller,-1,1,-1
teo,0,-1,3
terra team member,-1,0,-1
than,-1,0,-1
the boulder,-1,12,0
the duke,0,-1,3
the hippo,-1,12,-1
third girl,-1,3,-1
tho,-1,7,3
ticket lady,-1,0,-1
ticket woman,-1,1,-1
tong,-1,0,-1
toph,-1,0,0
tough prisoner,-1,-1,0
town authority,-1,-1,0
trainer,-1,10,-1
tribal man,0,-1,-1
ty lee,-1,1,2
tycho,-1,1,-1
tyro,4,-1,3
ukano,-1,4,-1
university student,-1,0,-1
unnamed fire nation boy,-1,10,-1
ursa,-1,1,2
village girl,0,-1,-1
village woman,0,-1,-1
villager,-1,8,5
villager #1,-1,-1,10
villager #2,-1,8,10
villager #3,-1,8,10
villager #4,-1,-1,10
waiter,-1,1,-1
wan shi tong,-1,0,-1
warden,4,-1,7
warden poon,-1,-1,2
warrior,-1,11,-1
weapons store shopkeeper,-1,-1,0
woman,0,-1,-1
wu,9,-1,-1
xin fu,-1,12,-1
xu,-1,-1,0
yangchen,-1,-1,0
ying,-1,0,-1
yon rha,-1,-1,8
yon rha's mother,-1,-1,8
young boy,-1,-1,2
yu,-1,12,-1
yue,0,-1,6
yugoda,0,-1,-1
yung,-1,5,-1
zei,-1,0,-1
zhang leader,6,-1,-1
zhao,1,-1,-1
zuko,1,1,2
