book,pair,count,average_sentiment_between_characters
Earth,"('the hippo', 'xin fu')",1,0.49783729016780853
Earth,"('the boulder', 'xin fu')",2,0.24642224609851837
Earth,"('sokka', 'xin fu')",2,-0.13829730823636055
Earth,"('katara', 'xin fu')",4,0.04437728226184845
Earth,"('the boulder', 'the hippo')",1,0.49783729016780853
Earth,"('sokka', 'the hippo')",1,0.49783729016780853
Earth,"('katara', 'the hippo')",1,0.49783729016780853
Earth,"('sokka', 'the boulder')",1,0.49783729016780853
Earth,"('katara', 'the boulder')",1,0.49783729016780853
Earth,"('aang', 'xin fu')",3,0.39269531269868213
Earth,"('the boulder', 'toph')",2,0.6875057592988014
Earth,"('audience', 'toph')",1,-0.6692555844783783
Earth,"('aang', 'audience')",1,-0.6692555844783783
Earth,"('audience', 'sokka')",1,-0.6692555844783783
Earth,"('male student #2', 'sokka')",1,-0.11146152019500732
Earth,"('katara', 'male student #2')",1,-0.11146152019500732
Earth,"('male student', 'sokka')",1,-0.11146152019500732
Earth,"('katara', 'male student')",1,-0.11146152019500732
Earth,"('guard', 'toph')",3,0.4505201478799184
Earth,"('lao', 'servant')",1,0.03229936957359314
Earth,"('servant', 'yu')",1,0.03229936957359314
Earth,"('lao', 'yu')",2,0.26526449620723724
Earth,"('lao', 'poppy')",3,0.17427858237236268
Earth,"('aang', 'poppy')",2,0.03250005131676084
Earth,"('aang', 'lao')",4,0.1412486435756797
Earth,"('aang', 'yu')",1,0.49822962284088135
Earth,"('katara', 'poppy')",1,0.4578356444835663
Earth,"('katara', 'lao')",2,0.229800246655941
Earth,"('toph', 'xin fu')",4,-0.4652640776087841
Earth,"('lao', 'toph')",3,-0.30854595286978614
Earth,"('lao', 'xin fu')",1,-0.7744319066405296
Earth,"('lao', 'sokka')",1,-0.7744319066405296
Earth,"('poppy', 'toph')",1,-0.15297080079714456
Earth,"('store owner', 'zuko')",1,-1.4932862967252731
Earth,"('gow', 'zuko')",3,-0.8083941716523397
Earth,"('earth kingdom soldier', 'gow')",2,-0.9051204366343362
Earth,"('earth kingdom soldier', 'zuko')",1,-1.1280644621167863
Earth,"('lee', 'zuko')",5,-0.3832533621362277
Earth,"('gansu', 'zuko')",3,-1.0829600507304782
Earth,"('sela', 'zuko')",3,-0.8133962204058965
Earth,"('gansu', 'sela')",1,-0.4932703673839569
Earth,"('gansu', 'lee')",2,-0.6877018607088498
Earth,"('ursa', 'zuko')",8,-0.29072865191847086
Earth,"('azula', 'ursa')",4,-0.6359405051916838
Earth,"('gansu', 'gow')",1,-0.682176411151886
Earth,"('earth kingdom soldier', 'gansu')",1,-0.682176411151886
Earth,"('ozai', 'zuko')",2,0.24826044216752052
Earth,"('azula', 'ozai')",2,0.24826044216752052
Earth,"('azulon', 'zuko')",1,-0.49646201729774475
Earth,"('azulon', 'ursa')",1,-0.49646201729774475
Earth,"('azulon', 'ozai')",1,0.7493115440011024
Earth,"('old man', 'old woman')",1,-0.5083540380001068
Earth,"('lee', 'old man')",1,1.4994681179523468
Earth,"('gow', 'old man')",1,-0.49895787239074707
Earth,"('old man', 'zuko')",1,-0.49895787239074707
Earth,"('lee', 'sela')",1,-0.4587968587875366
Earth,"('mai', 'sokka')",1,-0.4937165677547455
Earth,"('katara', 'mai')",1,-0.4937165677547455
Earth,"('iroh', 'toph')",3,0.011780853569507607
Earth,"('aang', 'zuko')",2,0.4464806094765663
Earth,"('katara', 'zuko')",6,-0.1740018121446624
Earth,"('aang', 'zei')",4,1.0155619723624305
Earth,"('sokka', 'zei')",7,0.08358804949356204
Earth,"('toph', 'zei')",3,-0.5638091605352727
Earth,"('katara', 'zei')",4,-0.12126165584317948
Earth,"('wan shi tong', 'zei')",2,0.10084871908551768
Earth,"('aang', 'wan shi tong')",2,-0.34575872013443393
Earth,"('sokka', 'wan shi tong')",2,-0.34575872013443393
Earth,"('katara', 'wan shi tong')",2,-0.34575872013443393
Earth,"('iroh', 'mongke')",2,-0.2470567598938942
Earth,"('man', 'yu')",1,-1.4951436817646027
Earth,"('man', 'xin fu')",1,-0.00179193913936615
Earth,"('xin fu', 'yu')",6,-0.20855858011378184
Earth,"('fung', 'iroh')",5,0.09275720119476319
Earth,"('fung', 'zuko')",4,-0.011947095394134521
Earth,"('xin fu', 'zuko')",1,0.4481271803379059
Earth,"('fung', 'xin fu')",1,0.4481271803379059
Earth,"('man in the bar', 'xin fu')",1,0.4481271803379059
Earth,"('iroh', 'xin fu')",1,0.4481271803379059
Earth,"('man in the bar', 'zuko')",1,0.4481271803379059
Earth,"('fung', 'man in the bar')",1,0.4481271803379059
Earth,"('iroh', 'man in the bar')",1,0.4481271803379059
Earth,"('florist', 'iroh')",1,-6.522238254547119e-05
Earth,"('katara', 'sha-mo')",1,-1.4931644350290298
