book,chapter,positive,negative,anger,fear,anticipation,trust,surprise,sadness,joy,disgust
Earth,Appa's Lost Days,0.203125,0.15234375,0.05859375,0.10546875,0.1171875,0.12890625,0.05859375,0.0703125,0.078125,0.02734375
Earth,Avatar Day,0.25544554455445545,0.11287128712871287,0.07524752475247524,0.07722772277227723,0.11287128712871287,0.1405940594059406,0.061386138613861385,0.053465346534653464,0.07722772277227723,0.033663366336633666
Earth,Bitter Work,0.24574961360123648,0.09119010819165378,0.06646058732612056,0.09428129829984544,0.09273570324574962,0.14837712519319937,0.07573415765069552,0.04636785162287481,0.10046367851622875,0.03863987635239567
Earth,City of Walls and Secrets,0.2485207100591716,0.11834319526627218,0.04881656804733728,0.11686390532544379,0.08875739644970414,0.16715976331360946,0.03550295857988166,0.07100591715976332,0.07248520710059171,0.03254437869822485
Earth,Lake Laogai,0.2589073634204275,0.10926365795724466,0.047505938242280284,0.05463182897862233,0.11163895486935867,0.171021377672209,0.0665083135391924,0.06175771971496437,0.0855106888361045,0.0332541567695962
Earth,Return to Omashu,0.210727969348659,0.12835249042145594,0.06704980842911877,0.09770114942528736,0.08237547892720307,0.15708812260536398,0.05555555555555555,0.07471264367816093,0.07088122605363985,0.05555555555555555
Earth,The Avatar State,0.24433656957928804,0.1262135922330097,0.06634304207119741,0.10841423948220065,0.07766990291262135,0.16828478964401294,0.038834951456310676,0.061488673139158574,0.061488673139158574,0.04692556634304207
Earth,The Blind Bandit,0.23868312757201646,0.15020576131687244,0.06584362139917696,0.09053497942386832,0.09259259259259259,0.14814814814814814,0.047325102880658436,0.04938271604938271,0.09465020576131687,0.02263374485596708
Earth,The Cave of Two Lovers,0.19791666666666666,0.12083333333333333,0.06458333333333334,0.12083333333333333,0.07708333333333334,0.12708333333333333,0.0375,0.10416666666666667,0.1,0.05
Earth,The Chase,0.2198581560283688,0.13238770685579196,0.04018912529550828,0.07565011820330969,0.1016548463356974,0.13238770685579196,0.06855791962174941,0.06855791962174941,0.10638297872340426,0.054373522458628844
Earth,The Crossroads of Destiny,0.22381930184804927,0.11909650924024641,0.06365503080082136,0.08829568788501027,0.1273100616016427,0.162217659137577,0.053388090349075976,0.055441478439425054,0.07597535934291581,0.030800821355236138
Earth,The Desert,0.20906801007556675,0.12594458438287154,0.0654911838790932,0.11083123425692695,0.0906801007556675,0.1561712846347607,0.03526448362720403,0.07556675062972293,0.07808564231738035,0.05289672544080604
Earth,The Drill,0.1873589164785553,0.13318284424379231,0.06772009029345373,0.07900677200902935,0.11060948081264109,0.16252821670428894,0.056433408577878104,0.06997742663656885,0.09480812641083522,0.03837471783295711
Earth,The Earth King,0.22807017543859648,0.11164274322169059,0.03987240829346093,0.11164274322169059,0.1291866028708134,0.16267942583732056,0.05582137161084529,0.05263157894736842,0.0733652312599681,0.03508771929824561
Earth,The Guru,0.23648648648648649,0.11655405405405406,0.057432432432432436,0.08783783783783784,0.10472972972972973,0.14864864864864866,0.05405405405405406,0.057432432432432436,0.08783783783783784,0.048986486486486486
Earth,The Library,0.29464285714285715,0.125,0.04642857142857143,0.10714285714285714,0.07857142857142857,0.1375,0.025,0.07321428571428572,0.07142857142857142,0.04107142857142857
Earth,The Serpent's Pass,0.20985401459854014,0.11313868613138686,0.03832116788321168,0.08394160583941605,0.12043795620437957,0.1259124087591241,0.05474452554744526,0.08394160583941605,0.11313868613138686,0.05656934306569343
Earth,The Swamp,0.21010638297872342,0.14893617021276595,0.0425531914893617,0.11436170212765957,0.11170212765957446,0.10904255319148937,0.05319148936170213,0.0398936170212766,0.06914893617021277,0.10106382978723404
Earth,The Tales of Ba Sing Se,0.23964497041420119,0.10355029585798817,0.04142011834319527,0.038461538461538464,0.16272189349112426,0.16272189349112426,0.0650887573964497,0.05029585798816568,0.11834319526627218,0.01775147928994083
Earth,Zuko Alone,0.16701461377870563,0.17536534446764093,0.06889352818371608,0.11482254697286012,0.06471816283924843,0.19206680584551147,0.029227557411273485,0.06889352818371608,0.04592901878914405,0.07306889352818371
Fire,Nightmares and Daydreams,0.208984375,0.154296875,0.064453125,0.083984375,0.11328125,0.142578125,0.05859375,0.041015625,0.08984375,0.04296875
Fire,Sokka's Master,0.2979942693409742,0.08882521489971347,0.05730659025787966,0.08882521489971347,0.09742120343839542,0.17765042979942694,0.054441260744985676,0.02865329512893983,0.0830945558739255,0.025787965616045846
Fire,"Sozin's Comet, Part 1: The Phoenix King",0.19648093841642228,0.14222873900293256,0.06451612903225806,0.12316715542521994,0.08651026392961877,0.1466275659824047,0.04838709677419355,0.060117302052785926,0.07038123167155426,0.06158357771260997
Fire,"Sozin's Comet, Part 2: The Old Masters",0.2716297786720322,0.13279678068410464,0.03621730382293763,0.09456740442655935,0.09054325955734406,0.1851106639839034,0.022132796780684104,0.05030181086519115,0.07042253521126761,0.04627766599597585
Fire,"Sozin's Comet, Part 3: Into the Inferno",0.2134502923976608,0.14327485380116958,0.07017543859649122,0.12280701754385964,0.09649122807017543,0.11403508771929824,0.05263157894736842,0.07017543859649122,0.07017543859649122,0.04678362573099415
Fire,"Sozin's Comet, Part 4: Avatar Aang",0.25984251968503935,0.1220472440944882,0.05511811023622047,0.08661417322834646,0.0984251968503937,0.16141732283464566,0.047244094488188976,0.051181102362204724,0.07874015748031496,0.03937007874015748
Fire,The Avatar and the Fire Lord,0.24838012958963282,0.11447084233261338,0.04103671706263499,0.09503239740820735,0.11231101511879049,0.17926565874730022,0.038876889848812095,0.04319654427645788,0.08207343412526998,0.04535637149028078
