character,dialogue_count,scene_count,episode_count,arc_presence,positive_proportion,negative_proportion,neutral_proportion
hakoda,1064,45,8,"Earth, Fire, Water",0.5986842105263158,0.40131578947368424,0.0
bato,656,23,5,"Earth, Fire, Water",0.5792682926829268,0.42073170731707316,0.0
mother superior,79,5,1,Water,0.7341772151898734,0.26582278481012656,0.0
messenger,13,1,1,Water,0.38461538461538464,0.6153846153846154,0.0
aunt wu,6,1,1,Water,1.0,0.0,0.0
mask dealer,7,1,1,Water,0.0,1.0,0.0
shop keeper,6,1,1,Water,1.0,0.0,0.0
puppet fire lord,11,1,1,Water,0.0,1.0,0.0
fire nation kids,4,1,1,Water,1.0,0.0,0.0
malu,69,1,1,Water,0.8405797101449275,0.15942028985507245,0.0
citizen,5,1,1,Water,1.0,0.0,0.0
chey,210,9,1,Water,0.7523809523809524,0.24761904761904763,0.0
lin yee,27,4,1,Water,0.2222222222222222,0.7777777777777778,0.0
guard captain,29,1,1,Water,0.3448275862068966,0.6551724137931034,0.0
jeong jeong,561,13,2,"Fire, Water",0.5240641711229946,0.47593582887700536,0.0
tribal man,4,1,1,Water,0.0,1.0,0.0
storyteller,81,5,1,Water,0.7283950617283951,0.2716049382716049,0.0
colonists,9,1,1,Water,0.0,1.0,0.0
teo,374,26,4,"Fire, Water",0.8609625668449198,0.13903743315508021,0.0
mechanist,656,22,3,"Fire, Water",0.23323170731707318,0.7667682926829268,0.0
qin,171,8,3,"Earth, Fire, Water",0.5906432748538012,0.4093567251461988,0.0
girl,2,1,1,Water,1.0,0.0,0.0
li,249,12,6,"Earth, Fire, Water",0.6024096385542169,0.39759036144578314,0.0
arnook,364,11,3,Water,0.804945054945055,0.19505494505494506,0.0
yue,564,26,5,"Fire, Water",0.6542553191489362,0.34574468085106386,0.0
pakku,559,19,6,"Earth, Fire, Water",0.7227191413237924,0.2772808586762075,0.0
yugoda,90,2,1,Water,0.9444444444444444,0.05555555555555555,0.0
crew member,14,2,2,"Fire, Water",1.0,0.0,0.0
hahn,134,5,2,Water,0.7313432835820896,0.26865671641791045,0.0
baboon spirit,17,2,1,Water,1.0,0.0,0.0
koh,182,4,1,Water,0.6098901098901099,0.3901098901098901,0.0
azula,3624,131,20,"Earth, Fire",0.4773730684326711,0.5226269315673289,0.0
fong,358,13,1,Earth,0.8631284916201117,0.13687150837988826,0.0
lo,126,11,5,"Earth, Fire",0.7936507936507936,0.20634920634920634,0.0
oracle,41,2,1,Earth,0.8536585365853658,0.14634146341463414,0.0
chong,487,18,1,Earth,0.6057494866529775,0.3942505133470226,0.0
moku,33,5,1,Earth,0.8484848484848485,0.15151515151515152,0.0
lily,40,4,1,Earth,0.4,0.6,0.0
commander,23,2,1,Earth,0.043478260869565216,0.9565217391304348,0.0
toph,5442,331,36,"Earth, Fire",0.4494671076809996,0.5505328923190004,0.0
song,153,6,1,Earth,0.32679738562091504,0.673202614379085,0.0
song's mother,27,2,1,Earth,1.0,0.0,0.0
guard one,25,2,1,Earth,0.36,0.64,0.0
guard two,14,1,1,Earth,1.0,0.0,0.0
mai,843,46,12,"Earth, Fire",0.27402135231316727,0.7259786476868327,0.0
michi,24,5,1,Earth,0.75,0.25,0.0
resistance fighter,4,1,1,Earth,1.0,0.0,0.0
yung,163,9,1,Earth,0.4539877300613497,0.5460122699386503,0.0
ty lee,715,36,9,"Earth, Fire",0.7230769230769231,0.27692307692307694,0.0
resistance fighter #1,17,1,1,Earth,1.0,0.0,0.0
resistance fighter #2,5,1,1,Earth,1.0,0.0,0.0
ukano,78,4,1,Earth,0.3333333333333333,0.6666666666666666,0.0
shuzumu,108,7,2,Earth,0.5092592592592593,0.49074074074074076,0.0
peasant girl,4,1,1,Earth,1.0,0.0,0.0
broadsword man,40,3,1,Earth,0.325,0.675,0.0
due,142,10,2,"Earth, Fire",0.5070422535211268,0.49295774647887325,0.0
tho,157,11,2,"Earth, Fire",0.21656050955414013,0.7834394904458599,0.0
