book,chapter,chapter_num,imdb_rating
Fire,"Sozin's Comet, Part 3: Into the Inferno",20,9.8
Fire,"Sozin's Comet, Part 4: Avatar Aang",21,9.8
Earth,The Crossroads of Destiny,20,9.6
Earth,Zuko Alone,7,9.5
Fire,The Avatar and the Fire Lord,6,9.5
Fire,"Sozin's Comet, Part 2: The Old Masters",19,9.5
Water,"The Siege of the North, Part 1",19,9.4
Fire,"The Day of Black Sun, Part 2: The Eclipse",11,9.4
Fire,"The Boiling Rock, Part 2",15,9.2
Earth,The Tales of Ba Sing Se,15,9.2
