season,episode_number,title,airdate,rating,total_votes,desc
2,5,Avatar Day,2006-04-28,7.4,3441,Sokka and Katara have to solve a centuries-old crime when Aang is imprisoned for a murder allegedly committed by one of his past incarnations.
2,6,The Blind Bandit,2006-05-05,9.1,4085,"While looking for an Earthbending teacher, Aang, and his friends discover a young blind girl with secrets of her own."
2,7,Zuko Alone,2006-05-12,9.5,5079,"As Zuko tries to make it by in exile without his uncle, he remembers how his father became Firelord and what happened to his mother."
2,8,The Chase,2006-05-26,9.0,3670,"Team Avatar is getting chased by a mysterious machine, they become sleep deprived when they try to get away from Azula and her two friends. Katara and Toph get into a heated argument, she calls the earth bender out on her unhelpful attitude. Aang realizes the reason why they are being followed by the crown princess and her friends is because of Appa's shedding. Aang and his friends finally clean Appa up and he tries to create a fake decoy trail with the fur to trick Azula and her friends. Aang is finally cornered by the princess, she reveals that she is the younger ..."
2,9,Bitter Work,2006-06-02,8.5,3336,"Aang begins to learn earthbending from Toph; Uncle Iroh resumes teaching Zuko firebending to better prepare him for facing Azula, and reveals a new technique he learned from watching waterbenders."
2,10,The Library,2006-07-14,8.7,3492,"When he learns that there is a lost Library with all the knowledge in the world, Sokka convinces the others to seek it out in hopes of finding a weakness of the Fire Nation."
2,11,The Desert,2006-07-14,8.7,3439,"Lost in the desert without Appa, Team Avatar must find a way out. Iroh and Zuko make contact with a secret organization."
2,12,The Serpent's Pass,2006-09-15,8.3,3228,"After getting tickets for the ferry headed to Ba Sing Se, the gang meets an old friend. They skip the ferry ride to help some refugees, one of which is going to have a baby, get to Ba Sing Se. They must lead the refugees through the Serpent's Pass, a dangerous mountain-side path surrounded by water."
2,13,The Drill,2006-09-15,8.9,3565,"After arriving at the great wall of Ba Sing Se, Aang and the gang discover that the Fire Nation has constructed a great drilling machine to penetrate the wall. The drill is also followed by an army of Fire Nation troops. Also, Zuko and Iroh are having trouble hiding the fact that they are both Firebenders."
2,14,City of Walls and Secrets,2006-09-22,8.6,3366,"After getting a house to stay in, Aang and company are given a tour of Ba Sing Se. As they try to get in to tell the Earth King the news, they find that nothing is quite what is seems. Jet is in the city, too, and he is positive that Iroh and Zuko are Firebenders."
2,15,The Tales of Ba Sing Se,2006-09-29,9.2,5138,"A series of short stories covering some of the time spent by Katara, Toph, Iroh, Sokka, Aang, Zuko and Momo as they live in Ba Sing Se."
2,16,Appa's Lost Days,2006-10-13,8.8,3681,"In this special episode, we go back in time to the moment Appa was stolen, will find out where he has gone and who he has met along the way and more importantly where he is now!"
2,17,Lake Laogai,2006-11-03,9.0,3592,"The Avatar gang encounters Jet in Ba Sing Se and he helps them to discover the location of Appa. But they will end up discovering something else, a secret of the city."
